time_s,ev_speed_mps,ev_pos_x_m,ev_pos_y_m,ev_distance_to_goal_m,ev_waiting_time_s,avg_waiting_time_s,total_waiting_time_s,queue_length_veh,throughput_veh_step
141.0,17.3625,13.0,-1.6,982.7299999999999,0.0,7.764705882352941,660.0,45,0
142.0,17.25155376717448,30.251553767174478,-1.6,965.4784462328254,0.0,8.023529411764706,682.0,43,0
143.0,17.186633552704006,47.43818731987849,-1.6,948.2918126801216,0.0,8.529411764705882,725.0,43,0
144.0,17.141969793848695,64.58015711372718,-1.6,931.1498428862727,0.0,9.481481481481481,768.0,43,4
145.0,17.24319246066734,81.82334957439453,-1.6,913.9066504256056,0.0,10.024691358024691,812.0,44,0
146.0,16.967637427244338,98.79098700163885,-1.6,896.9390129983611,0.0,10.835443037974683,856.0,44,2
147.0,17.24049728633836,116.03148428797724,-1.6,879.6985157120226,0.0,11.405063291139241,901.0,45,0
148.0,17.11878243610263,133.15026672407987,-1.6,862.5797332759201,0.0,12.2987012987013,947.0,46,2
149.0,17.135590509790926,150.2858572338708,-1.6,845.4441427661292,0.0,2.7733333333333334,208.0,17,2
150.0,17.05398808149621,167.339845315367,-1.6,828.3901546846329,0.0,1.0266666666666666,77.0,8,0
151.0,14.040287288531651,181.38013260389866,-1.6,814.3498673961013,0.0,0.34065934065934067,31.0,7,0
152.0,9.040287288531651,190.41223206915257,-1.4837329094559824,805.3095801075696,0.0,0.3076923076923077,28.0,9,0
153.0,11.189306982792914,199.80133478459862,3.4022246409977193,794.1202731247766,0.0,0.42857142857142855,39.0,14,0
154.0,11.455509704351424,201.6,14.51523657957466,782.6647634204254,0.0,0.5,45.0,13,1
155.0,15.347903179936111,201.6,29.863139759510773,767.3168602404893,0.0,0.5555555555555556,50.0,12,0
156.0,17.222931744437666,201.6,47.08607150394844,750.0939284960515,0.0,0.6966292134831461,62.0,12,1
157.0,17.20497254226357,201.6,64.29104404621201,732.888955953788,0.0,0.8314606741573034,74.0,12,0
158.0,17.252685868088157,201.6,81.54372991430017,715.6362700856997,0.0,0.9775280898876404,87.0,13,0
159.0,17.2640177693218,201.6,98.80774768362197,698.372252316378,0.0,1.0337078651685394,92.0,12,0
160.0,17.322189115174115,201.6,116.12993679879608,681.0500632012039,0.0,1.0561797752808988,94.0,10,0
161.0,17.11572087770328,201.6,133.24565767649935,663.9343423235006,0.0,1.1818181818181819,104.0,10,1
162.0,17.31031734496355,201.6,150.5559750214629,646.6240249785371,0.0,1.2954545454545454,114.0,10,0
163.0,17.23633751012385,201.6,167.79231253158676,629.3876874684132,0.0,1.4090909090909092,124.0,10,0
164.0,15.291893065679405,201.6,183.08420559726616,614.0957944027339,0.0,1.5340909090909092,135.0,11,0
165.0,13.34744862123496,201.6,196.4316542185011,600.7483457814989,0.0,1.6781609195402298,146.0,11,1
166.0,11.403004176790516,201.6,207.83465839529163,589.3453416047083,0.0,1.5544554455445545,157.0,11,0
167.0,9.458559732346071,204.8,217.29321812763772,579.8867818723623,0.0,1.7244897959183674,169.0,12,4
168.0,11.407845860821016,204.8,228.7010639884587,568.4789360115414,0.0,1.8854166666666667,181.0,16,3
169.0,12.00715259867336,204.8,240.70821658713209,556.4717834128679,0.0,2.0526315789473686,195.0,16,1
170.0,12.77513298993053,204.8,253.48334957706263,543.6966504229374,0.0,2.2736842105263158,216.0,21,0
171.0,12.628768082323537,204.8,266.1121176593862,531.0678823406139,0.0,2.597826086956522,239.0,23,3
172.0,12.863290530497242,204.8,278.9754081898834,518.2045918101165,0.0,2.8369565217391304,261.0,24,0
173.0,13.081767041924122,204.8,292.05717523180755,505.12282476819246,0.0,3.119565217391304,287.0,26,0
174.0,13.273407236305804,204.8,305.33058246811333,491.8494175318867,0.0,3.4347826086956523,316.0,29,0
175.0,13.534516880031548,204.8,318.8650993481449,478.31490065185517,0.0,3.791208791208791,345.0,29,1
176.0,13.787939049808845,204.8,332.65303839795376,464.5269616020463,0.0,4.177777777777778,376.0,31,1
177.0,13.258766894565635,204.8,345.9118052925194,451.2681947074807,0.0,4.522222222222222,407.0,31,0
178.0,13.723942816028817,204.8,359.6357481085482,437.54425189145184,0.0,4.877777777777778,439.0,32,0
179.0,13.55851446182434,204.8,373.19426257037253,423.98573742962753,0.0,5.2555555555555555,473.0,34,0
180.0,9.535753246852806,204.8,382.7300158172253,414.4499841827747,0.0,5.707865168539326,508.0,35,1
181.0,6.125058556343087,204.8,388.8550743735684,408.32492562643165,0.0,5.44,544.0,36,3
182.0,6.0573192387351025,206.88386643531143,394.21031986118686,402.2676063876965,0.0,5.878787878787879,582.0,38,2
183.0,7.969851129315793,214.65224474161928,398.4,394.29775525838073,0.0,5.494845360824742,533.0,37,2
184.0,11.872656650096177,226.52490139171545,398.4,382.42509860828454,0.0,5.666666666666667,544.0,36,2
185.0,15.754189999122172,242.27909139083764,398.4,366.6709086091624,0.0,6.032258064516129,561.0,38,3
186.0,16.975417200103404,259.25450859094104,398.4,349.695491409059,0.0,4.844444444444444,436.0,33,3
187.0,17.168290325719862,276.4227989166609,398.4,332.52720108333915,0.0,4.707865168539326,419.0,31,1
188.0,16.986425916384906,293.4092248330458,398.4,315.5407751669542,0.0,4.842696629213483,431.0,29,0
189.0,17.281137323100122,310.69036215614597,398.4,298.2596378438541,0.0,5.2272727272727275,460.0,29,1
190.0,17.15724653918296,327.8476086953289,398.4,281.10239130467113,0.0,5.568181818181818,490.0,30,0
191.0,14.68493044806492,342.5325391433938,398.4,266.41746085660617,0.0,5.8977272727272725,519.0,30,0
192.0,10.215479184637163,352.748018328031,398.4,256.201981671969,0.0,6.310344827586207,549.0,30,1
