time_s,ev_speed_mps,ev_pos_x_m,ev_pos_y_m,ev_distance_to_goal_m,ev_waiting_time_s,avg_waiting_time_s,total_waiting_time_s,queue_length_veh,throughput_veh_step
81.0,17.3625,401.6,17.0,393.40000000000003,0.0,0.5542168674698795,46.0,11,0
82.0,17.223811655677856,401.6,34.223811655677856,376.17618834432216,0.0,0.6265060240963856,52.0,10,0
83.0,17.257699863798916,401.6,51.481511519476776,358.9184884805232,0.0,0.6829268292682927,56.0,8,1
84.0,17.142841356340796,401.6,68.62435287581756,341.7756471241824,0.0,0.8148148148148148,66.0,10,1
85.0,17.23870672527701,401.6,85.86305960109459,324.5369403989054,0.0,0.9382716049382716,76.0,10,0
86.0,17.322533008269968,401.6,103.18559260936456,307.2144073906354,0.0,1.0617283950617284,86.0,10,0
87.0,17.310719748120757,401.6,120.49631235748534,289.9036876425147,0.0,1.1975308641975309,97.0,11,0
88.0,17.19600791493431,401.6,137.69232027241964,272.70767972758034,0.0,1.3333333333333333,108.0,11,0
89.0,17.193631455488504,401.6,154.88595172790815,255.51404827209183,0.0,1.4691358024691359,119.0,11,0
90.0,17.25835941033438,401.6,172.14431113824253,238.25568886175745,0.0,1.617283950617284,131.0,12,0
91.0,17.215682852081954,401.6,189.35999399032448,221.04000600967552,0.0,1.4742268041237114,143.0,12,0
92.0,17.188590008113533,401.6,206.548583998438,203.851416001562,0.0,1.6702127659574468,157.0,14,3
93.0,17.022419891040773,401.6,223.5710038894788,186.82899611052122,0.0,1.851063829787234,174.0,17,0
94.0,17.3199067032896,401.6,240.8909105927684,169.5090894072316,0.0,2.066666666666667,186.0,16,4
95.0,17.249123861826956,401.6,258.14003445459537,152.25996554540467,0.0,2.272727272727273,200.0,16,2
96.0,17.256959148123862,401.6,275.3969936027192,135.0030063972808,0.0,2.477272727272727,218.0,18,0
97.0,17.227471445221454,401.6,292.62446504794065,117.77553495205935,0.0,2.6931818181818183,237.0,19,0
98.0,17.130129710771143,401.6,309.75459475871185,100.6454052412882,0.0,2.909090909090909,256.0,19,0
99.0,17.3578050930053,401.6,327.1123998517171,83.2876001482829,0.0,3.147727272727273,277.0,21,0
100.0,17.356593913119287,401.6,344.4689937648364,65.93100623516362,0.0,3.397727272727273,299.0,22,0
101.0,17.203721251152455,401.6,361.67271501598884,48.72728498401118,0.0,3.659090909090909,322.0,23,0
102.0,17.197873661108314,401.6,378.87058867709715,31.529411322902877,0.0,3.9318181818181817,346.0,24,0
103.0,17.08684307616204,401.6,395.9574317532592,14.442568246740837,0.0,3.2954545454545454,290.0,22,0
104.0,17.026281890738755,401.6,412.9837136439979,0.0,0.0,3.397727272727273,299.0,19,0
105.0,17.180599400401118,401.6,430.164313044399,0.0,0.0,3.6136363636363638,318.0,19,0
106.0,16.99165868246928,401.6,447.1559717268683,0.0,0.0,3.2549019607843137,332.0,21,1
107.0,16.99579236386344,401.6,464.1517640907317,0.0,0.0,3.5353535353535355,350.0,22,4
108.0,16.983866592217236,401.6,481.135630682949,0.0,0.0,3.768421052631579,358.0,22,4
109.0,17.02207828471437,401.6,498.1577089676633,0.0,0.0,4.2444444444444445,382.0,24,5
110.0,17.34595993058756,401.6,515.5036688982509,0.0,0.0,4.590909090909091,404.0,23,2
111.0,17.18074206095189,401.6,532.6844109592029,0.0,0.0,4.885057471264368,425.0,26,1
112.0,17.074267156980934,401.6,549.7586781161838,0.0,0.0,2.4235294117647057,206.0,19,2
113.0,17.117377717141064,401.6,566.8760558333248,0.0,0.0,1.7857142857142858,150.0,16,1
114.0,17.042781690787525,401.6,583.9188375241124,0.0,0.0,0.9156626506024096,76.0,12,1
